148,ケーブルプッシュダウン,15,20,3,AK
149,インクラインベンチプレス,8,12,3,AL
150,ダンベルフライ,10,15,3,AL
151,サイドレイズ,10,15,3,AL
152,ケーブルプッシュダウン,15,20,3,AL
153,ブルガリアンスクワット,10,15,3,AM
154,ルーマニアンデッドリフト,10,15,3,AM
155,ラットプルダウン,10,15,3,AM
156,アブローラー,10,15,3,AM
157,インクラインベンチプレス,8,12,3,AN
158,ダンベルフライ,10,15,3,AN
159,サイドレイズ,10,15,3,AN
160,ケーブルプッシュダウン,15,20,3,AN
161,スクワット,10,15,3,AO
162,ブルガリアンスクワット,10,15,3,AO
163,ルーマニアンデッドリフト,10,15,3,AO
164,アブローラー,10,15,3,AO
165,ショルダープレス,10,15,3,AP
166,サイドレイズ,15,20,3,AP
167,ラットプルダウン,10,15,3,AP
168,シーテッドロウ,10,15,3,AP
169,インクラインベンチプレス,8,12,3,AQ
170,ダンベルフライ,10,15,3,AQ
171,ケーブルクロスオーバー,15,20,3,AQ
172,ケーブルプッシュダウン,15,20,3,AQ
173,スクワット,10,15,3,AR
174,ブルガリアンスクワット,10,15,3,AR
175,レッグカール,10,15,3,AR
176,レッグレイズ,10,15,3,AR
177,ショルダープレス,10,15,3,AS
178,サイドレイズ,15,20,3,AS
179,リアレイズ,10,15,3,AS
180,ディップス,10,15,3,AS
181,ラットプルダウン,10,15,3,AT
182,シーテッドロウ,10,15,3,AT
183,ルーマニアンデッドリフト,10,15,3,AT
184,アブローラー,10,15,3,AT
