29,こむぎ　［パン類］　フランスパン　　,1.00,2.79,0.094,0.013,0.575,1
30,こむぎ　［パン類］　ライ麦パン　　,1.00,2.64,0.084,0.022,0.527,1
31,こむぎ　［パン類］　ぶどうパン　　,1.00,2.69,0.082,0.035,0.511,1
32,こむぎ　［パン類］　ロールパン　　,1.00,3.16,0.101,0.09,0.486,1
33,こむぎ　［パン類］　クロワッサン　　,1.00,4.48,0.079,0.268,0.439,1
34,こむぎ　［パン類］　イングリッシュマフィン　　,1.00,2.28,0.081,0.036,0.408,1
35,こむぎ　［パン類］　ナン　　,1.00,2.62,0.103,0.034,0.476,1
36,こむぎ　［パン類］　ベーグル　　,1.00,2.75,0.096,0.02,0.546,1
37,こむぎ　［うどん・そうめん類］　うどん　生　,1.00,2.70,0.061,0.006,0.568,1
38,こむぎ　［うどん・そうめん類］　うどん　ゆで　,1.00,1.05,0.026,0.004,0.216,1
39,こむぎ　［うどん・そうめん類］　干しうどん　乾　,1.00,3.48,0.085,0.011,0.719,1
40,こむぎ　［うどん・そうめん類］　干しうどん　ゆで　,1.00,1.26,0.031,0.005,0.258,1
41,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾　,1.00,3.56,0.095,0.011,0.727,1
42,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで　,1.00,1.27,0.035,0.004,0.258,1
43,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾　,1.00,3.42,0.093,0.015,0.689,1
44,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで　,1.00,1.27,0.035,0.006,0.255,1
45,こむぎ　［中華めん類］　中華めん　生　,1.00,2.81,0.086,0.012,0.557,1
46,こむぎ　［中華めん類］　中華めん　ゆで　,1.00,1.49,0.049,0.006,0.292,1
47,こむぎ　［中華めん類］　蒸し中華めん　　,1.00,1.98,0.053,0.017,0.384,1
48,こむぎ　［中華めん類］　干し中華めん　乾　,1.00,3.65,0.105,0.016,0.73,1
49,こむぎ　［中華めん類］　干し中華めん　ゆで　,1.00,1.40,0.041,0.005,0.281,1
50,こむぎ　［中華めん類］　沖縄そば　生　,1.00,2.84,0.092,0.02,0.542,1
51,こむぎ　［中華めん類］　沖縄そば　ゆで　,1.00,1.47,0.052,0.008,0.28,1
52,こむぎ　［中華めん類］　干し沖縄そば　乾　,1.00,3.51,0.12,0.017,0.678,1
53,こむぎ　［中華めん類］　干し沖縄そば　ゆで　,1.00,1.48,0.052,0.006,0.286,1
54,こむぎ　［即席めん類］　即席中華めん　油揚げ味付け　,1.00,4.45,0.101,0.167,0.635,1
55,こむぎ　［即席めん類］　即席中華めん　油揚げ　,1.00,4.58,0.101,0.191,0.614,1
56,こむぎ　［即席めん類］　即席中華めん　非油揚げ　,1.00,3.56,0.103,0.052,0.671,1
57,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　,1.00,4.48,0.107,0.197,0.569,1
58,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　,1.00,4.36,0.084,0.189,0.581,1
59,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　,1.00,3.42,0.09,0.064,0.622,1
60,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　,1.00,4.51,0.109,0.201,0.566,1
61,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾　,1.00,3.79,0.122,0.019,0.739,1
62,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで　,1.00,1.65,0.054,0.009,0.32,1
63,こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生　,1.00,2.47,0.078,0.019,0.469,1
64,こむぎ　［ふ類］　生ふ　　,1.00,1.63,0.127,0.008,0.262,1
65,こむぎ　［ふ類］　焼きふ　釜焼きふ　,1.00,3.85,0.285,0.027,0.569,1
66,こむぎ　［ふ類］　焼きふ　板ふ　,1.00,3.79,0.256,0.033,0.573,1
67,こむぎ　［ふ類］　焼きふ　車ふ　,1.00,3.87,0.302,0.034,0.542,1
68,こむぎ　［その他］　小麦はいが　　,1.00,4.26,0.32,0.116,0.483,1
69,こむぎ　［その他］　小麦たんぱく　粉末状　,1.00,4.37,0.72,0.097,0.106,1
70,こむぎ　［その他］　小麦たんぱく　粒状　,1.00,1.11,0.2,0.02,0.018,1
71,こむぎ　［その他］　小麦たんぱく　ペースト状　,1.00,1.59,0.25,0.041,0.039,1
72,こむぎ　［その他］　ぎょうざの皮　　,1.00,2.91,0.093,0.014,0.57,1
73,こむぎ　［その他］　しゅうまいの皮　　,1.00,2.95,0.083,0.014,0.589,1
74,こむぎ　［その他］　ピザ生地　,1.00,2.68,0.091,0.03,0.511,1
75,こむぎ　［その他］　ちくわぶ　　,1.00,1.71,0.071,0.012,0.311,1
76,こむぎ　［その他］　パン粉　生　,1.00,2.80,0.11,0.051,0.476,1
77,こむぎ　［その他］　パン粉　半生　,1.00,3.19,0.125,0.058,0.543,1
78,こむぎ　［その他］　パン粉　乾燥　,1.00,3.73,0.146,0.068,0.634,1
79,こむぎ　［その他］　冷めん　生　,1.00,2.52,0.039,0.007,0.576,1
80,こめ　［水稲穀粒］　玄米　　,1.00,3.53,0.068,0.027,0.743,1
81,こめ　［水稲穀粒］　半つき米　　,1.00,3.56,0.065,0.018,0.759,1
82,こめ　［水稲穀粒］　七分つき米　　,1.00,3.59,0.063,0.015,0.766,1
83,こめ　［水稲穀粒］　精白米　うるち米　,1.00,3.58,0.061,0.009,0.776,1
84,こめ　［水稲穀粒］　精白米　もち米　,1.00,3.59,0.064,0.012,0.772,1
85,こめ　［水稲穀粒］　精白米　インディカ米　,1.00,3.69,0.075,0.008,0.791,1
86,こめ　［水稲穀粒］　はいが精米　　,1.00,3.57,0.065,0.02,0.758,1
87,こめ　［水稲穀粒］　発芽玄米　　,1.00,3.56,0.065,0.033,0.743,1
88,こめ　［水稲めし］　玄米　　,1.00,1.65,0.028,0.01,0.356,1
89,こめ　［水稲めし］　半つき米　　,1.00,1.67,0.027,0.006,0.364,1
90,こめ　［水稲めし］　七分つき米　　,1.00,1.68,0.026,0.005,0.367,1
91,こめ　［水稲めし］　精白米　うるち米　,1.00,1.68,0.025,0.003,0.371,1
92,こめ　［水稲めし］　精白米　もち米　,1.00,2.02,0.035,0.005,0.439,1
93,こめ　［水稲めし］　はいが精米　　,1.00,1.67,0.027,0.006,0.364,1
94,こめ　［水稲めし］　発芽玄米　　,1.00,1.67,0.03,0.014,0.35,1
95,こめ　［水稲全かゆ］　玄米　　,1.00,0.70,0.012,0.004,0.152,1
96,こめ　［水稲全かゆ］　半つき米　　,1.00,0.71,0.011,0.003,0.155,1
97,こめ　［水稲全かゆ］　七分つき米　　,1.00,0.71,0.011,0.002,0.156,1
98,こめ　［水稲全かゆ］　精白米　　,1.00,0.71,0.011,0.001,0.157,1
99,こめ　［水稲五分かゆ］　玄米　　,1.00,0.35,0.006,0.002,0.076,1
100,こめ　［水稲五分かゆ］　半つき米　　,1.00,0.35,0.006,0.001,0.077,1
101,こめ　［水稲五分かゆ］　七分つき米　　,1.00,0.35,0.006,0.001,0.077,1
102,こめ　［水稲五分かゆ］　精白米　　,1.00,0.36,0.005,0.001,0.079,1
103,こめ　［水稲おもゆ］　玄米　　,1.00,0.20,0.004,0.001,0.044,1
104,こめ　［水稲おもゆ］　半つき米　　,1.00,0.21,0.003,0.001,0.046,1
105,こめ　［水稲おもゆ］　七分つき米　　,1.00,0.21,0.003,0.001,0.046,1
106,こめ　［水稲おもゆ］　精白米　　,1.00,0.21,0.003,0,0.047,1
107,こめ　［陸稲穀粒］　玄米　　,1.00,3.51,0.101,0.027,0.711,1
108,こめ　［陸稲穀粒］　半つき米　　,1.00,3.55,0.096,0.018,0.729,1
109,こめ　［陸稲穀粒］　七分つき米　　,1.00,3.58,0.095,0.015,0.734,1
110,こめ　［陸稲穀粒］　精白米　　,1.00,3.57,0.093,0.009,0.745,1
111,こめ　［陸稲めし］　玄米　　,1.00,1.64,0.041,0.01,0.343,1
112,こめ　［陸稲めし］　半つき米　　,1.00,1.66,0.038,0.006,0.353,1
113,こめ　［陸稲めし］　七分つき米　　,1.00,1.68,0.036,0.005,0.357,1
114,こめ　［陸稲めし］　精白米　　,1.00,1.68,0.035,0.003,0.361,1
115,こめ　［うるち米製品］　アルファ化米　一般用　,1.00,3.88,0.06,0.01,0.848,1
