"62","プリチャーカール（ダンベル）","二頭","0000-00-00 00:00:00","0000-00-00 00:00:00"
"63","プリチャーカール（マシン）","二頭","0000-00-00 00:00:00","0000-00-00 00:00:00"
"64","ハンマーカール","二頭","0000-00-00 00:00:00","0000-00-00 00:00:00"
"65","ハンマーカール（ケーブル）","二頭","0000-00-00 00:00:00","0000-00-00 00:00:00"
"66","ケーブルプッシュダウン","三頭","0000-00-00 00:00:00","0000-00-00 00:00:00"
"67","トライセプスエクステンション","三頭","0000-00-00 00:00:00","0000-00-00 00:00:00"
"68","ディップス（三頭）","三頭","0000-00-00 00:00:00","0000-00-00 00:00:00"
"69","キックバック","三頭","0000-00-00 00:00:00","0000-00-00 00:00:00"
"70","ナローベンチプレス","三頭","0000-00-00 00:00:00","0000-00-00 00:00:00"
"71","クランチ","腹","0000-00-00 00:00:00","0000-00-00 00:00:00"
"72","アブローラー","腹","0000-00-00 00:00:00","0000-00-00 00:00:00"
"73","アブコースター","腹","0000-00-00 00:00:00","0000-00-00 00:00:00"
"74","レッグレイズ","腹","0000-00-00 00:00:00","0000-00-00 00:00:00"
"75","ハンギングレッグレイズ","腹","0000-00-00 00:00:00","0000-00-00 00:00:00"
"76","ワイパー","腹","0000-00-00 00:00:00","0000-00-00 00:00:00"
"77","ドラゴンフラッグ","腹","0000-00-00 00:00:00","0000-00-00 00:00:00"
